"Persona 1","Persona 2","Tipo"
"Gabriel Boric","Guillermo Teillier","neutral"
"Príncipe","PC Guillermo Teillier","negativo"
"Evelyn Matthei","Felipe Kast","neutral"
"Gabriel Salazar","Salvador Allende","neutral"
"Víctor Jara","Operación Cóndor","neutral"
"Subsecretaria Nicole Cardoch","Gobierno","neutral"
"Hugo Herrera","Juan Diego Montalva","neutral"
"Paulina Núñez","Rodrigo Galilea","neutral"
"Campos","Expresidenta Bachelet","neutral"
"Camilo Escalona","Salvador Allende","neutral"
"Matías Meza-Lopenhandía","Frei Ruiz-Tagle","neutral"
"Escultor Óscar Plandiura","Baquedano","positivo"
"Isapres","Tercera Sala","negativo"
"Desbordes","Chávez","neutral"
"Correa Sutil","Onofre Jarpa","positivo"
"Aldo Cassinelli","Jorge Correa Sutil","neutral"
"Lucía Miranda","Javier Milei","positivo"
"Evelyn Matthei","Nicolás Cataldo","positivo"
"Axel Kaiser","Javier Milei","neutral"
"Gabriel Boric","Sebastián Piñera","positivo"
"Felipe Kast","Javier Milei","positivo"
"Gabriel Boric","Sergio Onofre Jarpa","negativo"
"Giorgio Jackson","Fidel Espinoza","neutral"
"Gabriel Boric","Giorgio Jackson","positivo"
"Jaque al Rey","Giorgio Jackson","neutral"
"Expresidenta Bachelet","Gabriel Boric","neutral"
"Schneider","León Cosmelli","neutral"
"Diego Ibáñez","Juan Sutil","neutral"
"Subsecretario Monsalve","Gobernador","positivo"
"Axel Kaiser","De La Carrera","neutral"
"Jaime Huincahue","Sebastián Piñera","positivo"
"Diputada Fries","Giorgio Jackson","neutral"
"Gabriel Boric","Cordero","neutral"
"Sebastián Piñera","Evelyn Matthei","negativo"
"Ricardo Raphael","Alberto Undurraga","neutral"
"Oposición  Macaya","Gabriel Boric","negativo"
"Isabel Orellana","Mujer","negativo"
"Camila Vallejo","De Gregorio","positivo"
"Franco Parisi","Gaspar Rivas","positivo"
"Marcela Vacarezza","Luis Hermosilla","neutral"
"Miguel Crispi","Luis Hermosilla","neutral"
"Jorge Sharp","Gabriel Boric","neutral"
"Pepe Auth","Javier Milei","positivo"
"Raúl Sohr","Sergio Massa","neutral"
"Carla Carrizo","Graciela Camaño","neutral"
"Camila Vallejo","Javiera Martínez","neutral"
"Gonzalo Winter","Felipe Kast","positivo"
"Van Klaveren","Camila Vallejo","neutral"
"Paulina Vodanovic","Gabriel Boric","positivo"
"Cecilia Pérez","Rodolfo Carter","neutral"
"Gabriel Boric","Evelyn Matthei","positivo"
"Felipe Kast","Evelyn Matthei","negativo"
"Ignacio Moreno","Michelle Bachelet","negativo"
"Paulina Núñez","Felipe Kast","positivo"
"Solís","Amarillos","neutral"
"Alessandri","Evelyn Matthei","positivo"
"Irina Karamanos","Marcela Vacarezza","neutral"
"Gabriel Boric","Sebastián Piñera","negativo"
"Paulina Núñez","Rodrigo Galilea","positivo"
"Rodrigo Galilea","Paulina Núñez","positivo"
"Gabriel Boric","Sebastián Piñera","neutral"
"Gabriel Boric","Orlando Letelier","positivo"
"Hernán Larraín Matte","Gabriel Boric","neutral"
"Gabriel Boric","Guillermo Teillier","neutral"
"Camila Vallejo","Sebastián Piñera","neutral"
"Carolina Tohá","Sebastián Piñera","positivo"
"Gloria Hutt","Nicolás Cataldo","neutral"
"Rodolfo Carter","Subsecretario Monsalve","negativo"
"Mónica Rincón","Carolina Arredondo","negativo"
"Expresidenta Bachelet","Jamás","negativo"
"Paulina Núñez","Rodrigo Galilea","neutral"
"Chile Vamos","Gabriel Boric","neutral"
"Gabriel Boric","Sebastián Piñera","neutral"
"Carolina Tohá","Carlos Larraín","negativo"
"Juan Sutil","Diego Ibáñez","negativo"
"Amarillos","Sebastián Piñera","negativo"
"Carolina Tohá","Giorgio Jackson","neutral"
"Paulina Vodanovic","Castro","positivo"
"Irina Karamanos","Andrea Gutiérrez","negativo"
"Bukele","Gabriel Boric","neutral"
"Carmen Hertz","Cicardini","neutral"
"Sebastián Piñera","Gabriel Boric","neutral"
"Sebastián Piñera","Giorgio Jackson","neutral"
"Senador Macaya","Giorgio Jackson","negativo"
"Subsecretario Monsalve","Giorgio Jackson","neutral"
"Álvaro Elizalde","Giorgio Jackson","negativo"
"Pedro Sánchez","Raúl Sohr","neutral"
"Camila Vallejo","Giorgio Jackson","neutral"
"Oposición  Macaya","Bianchi","neutral"
"Bianchi","Oposición  Macaya","negativo"
"Paulina Vodanovic","Evelyn Matthei","positivo"
"Axel Kaiser","Felipe Kast","negativo"
"Camila Vallejo","Gabriel Boric","negativo"
"Ignacio Moreno","Giorgio Jackson","negativo"
"Flavia Torrealba","Giorgio Jackson","neutral"
"Carlos Larraín","Disputará","negativo"
"Catalina Pérez","Camila Vallejo","neutral"
"Raúl Sohr","Bukele","neutral"
"Hugo Herrera","Giorgio Jackson","neutral"
"Berlusconi","Trump","neutral"
"Evelyn Matthei","Augusto Pinochet","negativo"
"Celis","Ivon Aguilera","neutral"
"Rodolfo Carter","Gabriel Boric","neutral"
"Camila Vallejo","Natalia Piergentili","neutral"
"Oyarzo","Franco Parisi","positivo"
"Carolina Tohá","Andrés Longton","neutral"
"Jorge Sharp","Camilo Escalona","neutral"
"Carmen Hertz","Carolina Tohá","neutral"
"Juan Sutil","Natalia Piergentili","neutral"
"Juan Sutil","Diego Ibáñez","negativo"
"Duele","Luis Silva","neutral"
"Sebastián Silva","Luis Silva","neutral"
"Diego Ibáñez","Juan Sutil","negativo"
"Esteban Paredes","Jaime Ravinet","neutral"
"Sebastián Sichel","José Antonio Kast","negativo"
"Juan Antonio Coloma","Matilde Burgos","positivo"
"Gabriel Boric","Oposición  Macaya","neutral"
"Jorge Burgos","Amarillos","positivo"
"Paulina Vodanovic","Álvaro Elizalde","neutral"
"Ximena Rincón","Juan Sutil","neutral"
"Sebastián Sichel","Gabriel Boric","negativo"
"Federica Sánchez","Alberto Fernández","negativo"
"Ricardo Lagos","Jaime Ravinet","positivo"
"Expresidenta Bachelet","Álvaro Elizalde","neutral"
"Vlado Mirosevic","Jacinta: Busca","positivo"
"Pamela Jiles","Franco Parisi","positivo"
"Irací Hassler","Paulina Vodanovic","negativo"
"Giorgio Jackson","Vicente","neutral"
"Fidel Espinoza","Giorgio Jackson","negativo"
"Evelyn Matthei","Camila Vallejo","neutral"
"Evelyn Matthei","Gabriel Boric","positivo"
"Alberto Fernández","ME-O","neutral"
"Guillermo Teillier","Estoy","positivo"
"Diputada Jiles","Uriarte","neutral"
"General Yáñez","cabo Salazar","neutral"
"Uriarte","Pamela Jiles","neutral"
"Ricardo Yáñez","Orsini-Valdivia","neutral"
"Camila Vallejo","Gonzalo de la Carrera","neutral"
"Uriarte","Matías Meza-Lopenhandía","neutral"
"Isabel Orellana","Orsini-Valdivia","negativo"
"Ex Vega","Héctor Llaitul","neutral"
"Gabriel Boric","Aníbal Palma","negativo"
"Paulina Vodanovic","Antonia Urrejola","negativo"
"Frei Ruiz-Tagle","Mónica Rincón","negativo"
"Tomás Duval","Gabriel Boric","neutral"
"Gabriel Boric","nuestro Chilito","positivo"
"Sofofa","Gabriel Boric","negativo"
"Rodolfo Carter","Matías Meza-Lopenhandía","positivo"
"Iván Moreira","Urruticoechea","neutral"
"Felipe Kast","Rojo Edwards","negativo"
"Exministro Jaime Mañalich","Amarillos","neutral"
"Juan Sutil","Amarillos","neutral"
"Marcela Vacarezza","Dominga","positivo"
"Evelyn Matthei","José Antonio Kast","neutral"
"Uriarte","Tohá-Girardi","neutral"
"Ricardo Lagos","Gabriel Boric","positivo"
"Karol Cariola","Federica Sánchez","negativo"
"Gabriel Boric","Matías Meza-Lopenhandía","positivo"
"Marcela Ríos","Giorgio Jackson","neutral"
"Pancho Malo","Oposición  Macaya","negativo"
"Javier Macaya","Pancho Malo","negativo"
"Pdte","Gabriel Boric","neutral"
"Juan Guaidó","Nicolás Maduro","neutral"
"Muñoz","Sebastián Piñera","neutral"
"Iván Moreira","Marta Herrera","negativo"
"Isabel Orellana","Ángel Valencia","neutral"
"Catalina Lagos","Frei Ruiz-Tagle","positivo"
"Gaspar Rivas","Ahumada y Pino","neutral"
"Belisario Velasco","Gabriel Boric","neutral"
"Iván Flores","Amarillos","positivo"
"Karol Cariola","Cristina Fernández","neutral"
"Jaime Naranjo","Sauerbaum","neutral"
"Patricia Hidalgo","Camila Vallejo","negativo"
"Fuad Chahin","Verónica Undurraga","negativo"
"Catalina Lagos","Gonzalo Pinochet","negativo"
"Gabriel Boric","Patricio Aylwin","positivo"
"Gaspar Rivas","PDG Ahumada","neutral"
"Isabel Orellana","Evelyn Matthei","neutral"
"Pulso Ciudadano","Gabriel Boric","neutral"
"Evelyn Matthei","Gabriel Boric","neutral"
"Catalina Pérez","Vlado Mirosevic","neutral"
"Fuad Chahin","Verónica Undurraga","negativo"
"Xi Jinping","Gabriel Boric","positivo"
