"Persona 1","Persona 2","Tipo"
"Camila Vallejo   Vallejo","Lagos Weber","positivo"
"Castro","Carlos Montes","neutral"
"Raúl Figueroa","Nicolás Cataldo","neutral"
"Javier Macaya  Macaya","Javier Milei","neutral"
"Antonia Orellana  Ley de Responsabilidad Parental","Isabel Orellana","negativo"
"Juan Antonio Coloma","Gabriel Boric","negativo"
"Eric Aedo","Frei Ruiz-Tagle","neutral"
"Eduardo Frei  Undurraga","Frei Ruiz-Tagle","neutral"
"Gabriel Boric","José Antonio Viera-Gallo","neutral"
"Caso Hermosilla","Luis Hermosilla","neutral"
"Camila Vallejo","Gabriel Boric","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","positivo"
"Lio de platas  Lío","Fisco","negativo"
"Gabriel Boric","Sebastián Piñera","neutral"
"Sebastián Piñera","Gabriel Boric","positivo"
"Javier Milei","Gabriel Boric","positivo"
"Gabriel Boric","Javier Milei","neutral"
"Francisco Vidal  Francisco Vidal","Gonzalo Pinochet","neutral"
"Gabriel Boric","Javier Milei","positivo"
"Gabriel Boric","Carolina Tohá","negativo"
"Gabriel Boric","Mandatario","positivo"
"Alenadra Krauss","Alejandra Krauss","positivo"
"Caso Hermosilla  Caso Hermosilla","Gabriel Boric","neutral"
"Sebastián Keitel  Keitel","Gloria Hutt","neutral"
"Luis Hermosilla  Marcel","Luis Hermosilla","positivo"
"Catalina Pérez  Líos de platas","Catalina Pérez","negativo"
"Sebastián Keitel  Senador Sebastián Keitel","Gloria Hutt","negativo"
"Sergio Micco  Rectora Devés","Sergio Micco","negativo"
"Camila Vallejo  Secuestros","Camila Vallejo","positivo"
"Javier Macaya","Oposición  Macaya","neutral"
"Expresidenta Bachelet","Sergio Massa","positivo"
"Sergio Micco  De","Sergio Micco","neutral"
"Carlos Montes  “No","Carlos Montes","neutral"
"Camila Vallejo  Deportistas","Camila Vallejo","neutral"
"Sergio Micco   Boric","Sergio Micco","neutral"
"seremías","Fiscalía","neutral"
"Rosa María Payá","Gabriel Boric","positivo"
"Pedro Castillo","Gabriel Boric","neutral"
"Alberto van Klaveren  Embajador de Chile","Van Klaveren","positivo"
"Miguel Crispi  Líos","Miguel Crispi","neutral"
"Boric   Boric","Joe Biden","positivo"
"Juan Antonio Coloma","Coloma","neutral"
"Gabriel Boric","Joe Biden","negativo"
"Gabriel Boric","Joe Biden","positivo"
"Gabriel Boric","Tirúa","positivo"
"Felipe Harboe","Subsecretario Monsalve","positivo"
"Álvaro Elizalde  Proceso","Álvaro Elizalde","neutral"
"Jaime Quintana  “Antidemocrático","Quintana","negativo"
"Gabriel Boric  Asociación Mundial de Periódicos y Editores de Noticias","Gabriel Boric","negativo"
"Grau","Gabriel Boric","positivo"
"Nicolás Grau  Oposición","Grau","neutral"
"Gabriel Boric   Boric","Joe Biden","neutral"
"Miguel Crispi  Gobierno","Miguel Crispi","neutral"
"Javier Macaya","Evelyn Matthei","neutral"
"Matías Meza-Lopenhandía","Miguel Crispi","positivo"
"Miguel Crispi  Montes","Miguel Crispi","neutral"
"Diego Vela","Tatiana Urrutia","neutral"
"Gloria Hutt  Presidenta de Evópoli","Javier Milei","negativo"
"Patricio Fernández","general Iturriaga","negativo"
"Gabriel Boric","Mahmoud Abbas","neutral"
"Miguel Crispi  Diego Vela","Miguel Crispi","neutral"
"Gil Artzyeli","Subsecretario Monsalve","neutral"
"Bárbara Figueroa","Víctor Jara","negativo"
"Subsecretario Monsalve","Embajador Artzyeli","negativo"
"Estallido Social   Jara","Sebastián Piñera","neutral"
"Estallido Social  Estallido","Matías Meza-Lopenhandía","negativo"
"Miguel Crispi","Subdere","positivo"
"Estallido Social  La “autocrítica","Larroulet","neutral"
"Estallido Social  Exministro Delgado","Matías Meza-Lopenhandía","neutral"
"Boric  Boric","Miguel Crispi","negativo"
"Miguel Crispi  El","Miguel Crispi","neutral"
"Bermúdez","Miguel Crispi","neutral"
"Miguel Crispi  Inasistencia de Crispi","Cordero","negativo"
"Miguel Crispi  Cordero","Miguel Crispi","neutral"
"Cristián Larroulet  Larroulet","Miguel Crispi","neutral"
"Miguel Crispi   Camila Vallejo","Miguel Crispi","negativo"
"Javier Macaya","Paulina Vodanovic","negativo"
"Gabriel Boric","José Venturelli","neutral"
"Gabriel Boric","Xi Jinping","positivo"
"Miguel Crispi  Gobierno","Miguel Crispi","neutral"
"Oposición  Macaya","Miguel Crispi","negativo"
"Gabriel Boric","Javiera Martínez","neutral"
"Luis Hermosilla","Miguel Crispi","neutral"
"Gabriel Boric","Carmen Hertz","neutral"
"Yeomans","Felipe Kast","negativo"
"Gabriel Boric","Matías Meza-Lopenhandía","positivo"
"Henry Leal","Evelyn Matthei","positivo"
"Gabriel Boric","Carolina Tohá","positivo"
"Lio de Platas  Lío","Miguel Crispi","negativo"
"Álvaro Elizalde","Gabriel Boric","neutral"
"Diego Vela","Tatiana Urrutia","positivo"
"Felipe Kast  Ley de Usurpaciones","Felipe Kast","neutral"
"Juan Antonio Coloma","Coloma","neutral"
"Cristian Labbé","Gabriel Boric","negativo"
"Eduardo Frei","Gabriel Boric","positivo"
"Nicolás Maduro","María Corina Machado","positivo"
"Lautaro Carmona","Bárbara Figueroa","neutral"
"Catalina Pérez  Democracia Viva","Catalina Pérez","positivo"
"Gabriel Boric","Orlando Letelier","neutral"
"Sebastián Piñera  Ejecutivo","Sebastián Piñera","negativo"
"Sebastián Piñera","Javier Milei","neutral"
"Paul Sfeir","Alejandro Köhler","negativo"
"Sebastián Piñera  Encabezado","Sebastián Piñera","neutral"
"Expresidenta Bachelet","Evelyn Matthei","positivo"
"Carmen Hertz","Gabriel Boric","neutral"
"Alberto van Klaveren  Discurso","Gabriel Boric","negativo"
"Plan de Búsqueda y Boric","Parada Militar","positivo"
"Gabriel Boric","Mandatario","negativo"
"Javier Macaya","Oposición  Macaya","neutral"
"Gustavo Benavente   Benavente","Salvador Allende","neutral"
"Gabriel Boric","Gonzalo Pinochet","positivo"
"11-S","Gabriel Boric","neutral"
"Michelle Bachelet","Expresidenta Bachelet","neutral"
"Gabriel Boric  Boric","Sebastián Piñera","neutral"
"Pepe Mujica","Salvador Allende","positivo"
"Salvador Allende","Gabriel Boric","neutral"
"Rodrigo Galilea","Paulina Núñez","negativo"
"Gabriel Boric","Sebastián Piñera","positivo"
"Javier Macaya","Gabriel Boric","negativo"
"Irací Hassler","Subsecretario Monsalve","positivo"
"la UDI","Gabriel Boric","neutral"
"Gabriel Boric","Frei Ruiz-Tagle","neutral"
"Gabriel Boric","Matías Meza-Lopenhandía","positivo"
"Gabriel Boric","Punta Peuco","neutral"
"Álvaro Elizalde","Chile Vamos","positivo"
"Gabriel Boric","Javiera Martínez","neutral"
"Gabriel Boric","Catalina Lagos","neutral"
"Gabriel Boric","Expresidenta Bachelet","neutral"
"Chile Vamos","Gabriel Boric","positivo"
"Quintana","Natalia Piergentili","neutral"
"Gabriel Boric","Sebastián Piñera","negativo"
"Senadora Gatica","Carlos Larraín","positivo"
"Ex Cubillos","Sebastián Piñera","negativo"
"Gabriel Boric","Sebastián Piñera","positivo"
"Javier Macaya  Macaya","Gabriel Boric","neutral"
"Patricia Hidalgo","Giorgio Jackson","negativo"
"Karol Cariola","Guillermo Teillier","positivo"
"Belisario Velasco  Jorge Donoso","Belisario Velasco","neutral"
"Plebiscito","Natalia Piergentili","negativo"
"Gloria Hutt","Nicolás Cataldo","positivo"
"Van Klaveren","Susana Herrera","neutral"
"Jorge Bermudez  Contralor","subsecretaria Lobos","neutral"
"Chile Vamos","Ivonne Mangelsdorff","negativo"
"Susana Herrera","Camila Vallejo","positivo"
"Gabriel Boric","Sebastián Piñera","neutral"
"Iván Moreira  Moreira","Salvador Allende","neutral"
"Coloma","Salvador Allende","neutral"
"Michelle Bachelet  Elizalde","Expresidenta Bachelet","positivo"
"Camila Vallejo","Catalina Pérez","neutral"
"Chile Vamos","Gabriel Boric","neutral"
"Nicolás Cataldo","Gabriel Boric","negativo"
"Carlos Montes","Giorgio Jackson","negativo"
"Ricardo Montero","Víctor Barrueto","neutral"
"Aurora Williams","Marcela Hernando","neutral"
"Francisca Perales","Nicolás Cataldo","neutral"
"Jaime de Aguirre","Culturas","neutral"
"Chile Vamos","Sebastián Piñera","negativo"
"Gabriel Boric","Onofre Jarpa","negativo"
"Gabriel Boric","Sebastián Piñera","neutral"
"Gabriel Boric","Sebastián Piñera","positivo"
"Francisco Undurraga  Jefe de s","Giorgio Jackson","neutral"
"Felipe Kast","Javier Milei","positivo"
"Carolina Tohá","Giorgio Jackson","neutral"
"Álvaro Elizalde","Giorgio Jackson","neutral"
"Alberto Espina  Hospitalizan","Alberto Espina","negativo"
"Camila Vallejo","Giorgio Jackson","neutral"
"Monsalve  Ley de Usurpaciones","Subsecretario Monsalve","neutral"
"Diego Ibáñez  Ibáñez","Correa Sutil","negativo"
"Miguel Ángel Calisto","Giorgio Jackson","neutral"
"Gabriel Boric","Giorgio Jackson","negativo"
"Agustín Romero  Subjefe","Giorgio Jackson","positivo"
"Carlos Montes  Consejo de Auditoría","Álvaro Elizalde","positivo"
"Gabriel Boric","Instagram","neutral"
"Luis Silva","Catalina Lagos","positivo"
"Amarillos","Sebastián Piñera","neutral"
"Diego Ibáñez  Ibáñez","Daniel Andrade","neutral"
"Daniel Jadue   Jadue","Ángel Valencia","negativo"
"Edmundo Eluchans  El desmarque","Eluchans","positivo"
"Mario Marcel","Giorgio Jackson","positivo"
"Raúl Soto","Giorgio Jackson","neutral"
"Gabriel Boric","Giorgio Jackson","positivo"
"Daniel Andrade","Gabriel Boric","neutral"
"Tohá-Girardi","Natalia Piergentili","neutral"
"subsecretaria de las Culturas","Andrea Gutiérrez","negativo"
"Quintana","Natalia Piergentili","positivo"
"Carlos Montes","Cordero","positivo"
"Gabriel Boric","Baquedano","positivo"
"Subsecretario Monsalve","Nicolás Cataldo","positivo"
"Gaspar Rivas","Jamás","neutral"
"Gabriel Boric","Giorgio Jackson","negativo"
"Gabriel Boric  Boric","Carolina Tohá","negativo"
"Gabriel Boric","Giorgio Jackson","neutral"
"Sebastián Piñera","Gabriel Boric","neutral"
"Camila Vallejo  “Mezquindad","Gabriel Boric","positivo"
"Subsecretario Monsalve","la UDI","neutral"
"Isabel Orellana","Giorgio Jackson","negativo"
"Cristián Labbé","Giorgio Jackson","negativo"
"Paulina Vodanovic  Vodanovic","Orsini-Valdivia","neutral"
"Camila Vallejo","Etcheberry","neutral"
"Luis Cordero  Cordero","Giorgio Jackson","neutral"
"Salvador Allende  Boric","Salvador Allende","positivo"
"Natalia Piergentili","Tohá-Girardi","positivo"
"Giorgio Jackson","Carlos Montes","neutral"
"Gabriel Boric","Baltasar Garzón","negativo"
"Gabriel Boric","Baltasar Garzón","neutral"
"Van Klaveren","Baltasar Garzón","positivo"
"Gabriel Boric  Boric","Baltasar Garzón","positivo"
"Van Klaveren","Gabriel Boric","positivo"
"Camila Vallejo","Daniel Jadue","neutral"
"Gabriel Boric","Pedro Sánchez","positivo"
"Jaime de Aguirre  De Aguirre","Patricio Fernández","negativo"
"Marco Antonio Ávila  Acusación","Verónica Undurraga","neutral"
"Gore Metropolitano","Giorgio Jackson","negativo"
"Gonzalo Pinochet","Mandatario","negativo"
"Paulina Vodanovic","Giorgio Jackson","positivo"
"Gonzalo Pinochet","Matías Meza-Lopenhandía","negativo"
"Javier Macaya  Líos de platas","Giorgio Jackson","neutral"
"Orsini-Valdivia","Telefonazo","neutral"
"Alessandri","Carlos Montes","negativo"
"Carolina Tohá","Patricio Fernández","negativo"
"Matías Meza-Lopenhandía","Gabriel Boric","negativo"
"Javier Millei  José Antonio Kast","Javier Milei","neutral"
"José Antonio Kast","Gabriel Boric","positivo"
"Miguel Crispi","subdere","positivo"
"Gabriel Boric","Patricio Fernández","positivo"
"Patricio Fernández","Gabriel Boric","neutral"
"Monckeberg","Carlos Montes","neutral"
"Carlos Montes","Giorgio Jackson","neutral"
"Sebastián Piñera","Carlos Montes","positivo"
"Javiera Toro  Boric","Javiera Toro","neutral"
"Carlos Montes  Lío","Carlos Montes","negativo"
"Gabriel Boric","Gabriela Elgueta","neutral"
"Catalina Pérez","Camila Vallejo","neutral"
"Catalina Pérez","Latorre","negativo"
"Daniela Dresdner","Gabriel Boric","neutral"
"Fidel Espinoza","seremi RD","neutral"
"Matías Meza-Lopenhandía","Lidia Casas","negativo"
"Catalina Pérez","Daniel Andrade","negativo"
"Camila Vallejo","Gabriel Boric","positivo"
"Gabriel Boric","Rojas Vade","positivo"
"Paulina Vodanovic","Rojas Vade","negativo"
"Gabriel Boric","subsecretaria de Vivienda Tatiana Rojas","neutral"
"Gabriel Boric","subsecretaria Lobos","negativo"
"Felipe Kast","Mejor Niñez","negativo"
"subsecretaria RD","Carlos Montes","positivo"
"Boris Barrera","Matías Meza-Lopenhandía","neutral"
"Javiera Martínez","Mejor Niñez","negativo"
"Catalina Pérez","Fiscalía","neutral"
"Beatriz Hevia","Gonzalo Pinochet","positivo"
"Gabriel Boric","Miguel Mellado","negativo"
"Miguel Mellado","Gabriel Boric","neutral"
"Miguel Mellado","Gabriel Boric","positivo"
"Gabriel Boric","Vlado Mirosevic","neutral"
"Ivón Guerra  Ivón Guerra","Jamás","neutral"
"Elisa Loncon","Bassa","neutral"
"Izkia Siches","Colmed","neutral"
"Sergio Micco","Amarillos","neutral"
"Oswaldo Payá","Miguel Díaz-Canel","negativo"
"Fernando Araos  Boric","Araos de Redes Asistenciales","positivo"
"Araos","Ivon Aguilera","neutral"
"Ivon Aguilera","Araos","negativo"
"Giorgio Jackson","Gabriel Boric","positivo"
"Gabriel Boric","Revolución Democrática","neutral"
"Gabriel Boric","Ivon Aguilera","positivo"
"Luis Silva","Gonzalo Pinochet","negativo"
"Ninoska Payauna","Beatriz Hevia","negativo"
"Gabriel Boric","Jessica González","neutral"
"Vivanco","Isapres","negativo"
"Aldo Valle  Aldo Valle","María Pardo","neutral"
"Latorre","Expresidenta Bachelet","neutral"
"Diosdado Cabello","Gabriel Boric","neutral"
"Gabriel Boric","Ojeda","positivo"
"Miguel Crispi","Gabriel Boric","neutral"
"José González","José Antonio González","positivo"
"Antonia Urrejola","Natalia Piergentili","negativo"
"Iván Moreira","Previsión Social","negativo"
"Expresidenta Bachelet","Avanzada Presidencial","neutral"
"Gabriel Boric","Natalia Piergentili","positivo"
"Subsecretario Monsalve","Gaspar Rivas","positivo"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"Coloma","Camila Vallejo","negativo"
"Chile Vamos","Felipe Kast","negativo"
"Oposición  Macaya","Camila Vallejo","neutral"
"Franco Parisi","Mañalich","positivo"
"Sebastián Piñera","Gustavo Petro","neutral"
"Jesucristo","Luis Silva","neutral"
"Ivon Aguilera","Gonzalo Pinochet","neutral"
"Luis Silva","Rodrigo Rojas Vade","negativo"
"Andrés Zaldívar","Jaime Ravinet","negativo"
"Franco Parisi","Añes","negativo"
"Patricio Bopp  Concejal","Patricio Bopp","neutral"
"Crisis migratoria","Subsecretario Monsalve","positivo"
"Juan Sutil","Diego Ibáñez","negativo"
"Juan Sutil","Diego Ibáñez","neutral"
"Evelyn Matthei","Camila Vallejo","positivo"
"Diego Ibáñez","Correa Sutil","neutral"
"Fabiola Campillai","María Luisa Cordero","neutral"
"Natalia Piergentili","Jaime Guzmán","neutral"
"Jaime Guzmán","Rojas Vade","negativo"
"Paulina Vodanovic","Álvaro Elizalde","neutral"
"Paulina Vodanovic","Álvaro Elizalde","neutral"
"Ricardo Lagos","Jaime Ravinet","positivo"
"Paulina Núñez","Francisco Chahuán","neutral"
"Álvaro Elizalde","Expresidenta Bachelet","positivo"
"Álvaro Elizalde","Ana Lya Uriarte","neutral"
"la UDI","Felipe Kast","negativo"
"Camila Vallejo","Gabriel Boric","neutral"
"Alinco","Karol Cariola","neutral"
"Uriarte","Camila Vallejo","positivo"
"Irací Hassler","Guillermo Teillier","positivo"
"Violencia","Subsecretario Monsalve","neutral"
"Gabriel Boric","Andar","neutral"
"Tribunal Supremo DC","Fuad Chahin","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","positivo"
"Gabriel Boric  Oposición","Gabriel Boric","neutral"
"s Boric","Patricio Fernández","positivo"
"Ley Nain-Retamal   Tohá","Nain-Retamal","neutral"
"Van Klaveren","Pedro Castillo","positivo"
"Lautaro Carmona","Gabriel Boric","neutral"
"Nain-Retamal","Eugenio Naín","positivo"
"Gabriel Boric  Asesinato","Gabriel Boric","negativo"
"Vlado Mirosevic","Rita Olivares","neutral"
"Rodolfo Carter","Gabriel Boric","neutral"
"Sebastián Piñera","Lasso","positivo"
"Gabriel Boric","Rodolfo Carter","neutral"
"Van Klaveren","Matías Meza-Lopenhandía","neutral"
"Gabriel Boric","Cordero","neutral"
"Indultos","Constanza Hube","neutral"
"Gabriel Boric","Van Klaveren","positivo"
"Gabriel Boric","Zelensky","neutral"
"Gabriel Salazar","Vlado Mirosevic","neutral"
"Ricardo Lagos","Jorge Mateluna","positivo"
"Camila Vallejo","Justicia","positivo"
"Gabriel Boric","Coloma","positivo"
"Subsecretario Monsalve","Gabriel Boric","positivo"
"Jaime Ravinet","Andrés Zaldívar","neutral"
"Evo Morales","Gabriel Boric","neutral"
"Juan Antonio Coloma","Francisco Huenchumilla","positivo"
"Subsecretario Monsalve","Delgado","neutral"
"Ximena Rincón","Matías Walker","neutral"
"Uriarte","Diputada Jiles","positivo"
"Camila Vallejo","Jorge Valdivia","neutral"
"Paulina Vodanovic","OO.PP","neutral"
"Paulina Vodanovic","Uriarte","negativo"
"Renuncias","Gabriel Boric","neutral"
"Van Klaveren","Gabriel Boric","positivo"
"Ripamonti","Gabriel Boric","positivo"
"Gabriel Boric","Sebastián Piñera","negativo"
"Gabriel Boric","Delgado","negativo"
"Uriarte","Delgado","neutral"
"Catalina Lagos","Natalia Piergentili","positivo"
"Gabriel Boric","Expresidenta Bachelet","positivo"
"Vlado Mirosevic","Delgado","neutral"
"Gabriel Boric","Verónica Undurraga","positivo"
"Luz Ebensperger  Luz Ebensperger","Coloma","neutral"
"Uriarte","Orsini-Valdivia","neutral"
"Camila Vallejo","Gabriel Boric","negativo"
"Gabriel Boric","Matías Meza-Lopenhandía","neutral"
"Uriarte","Orsini-Valdivia","neutral"
"Giorgio Jackson","Matías Meza-Lopenhandía","positivo"
"Gabriel Boric","Tucapel Jiménez","positivo"
"Gabriel Boric","Patricio Fernández","neutral"
"Julia Urquieta  Abogada","Pablo Neruda","positivo"
"Jouannet","Hércules","neutral"
"Gabriel Boric  Boric","Alberto Fernández","neutral"
"Alberto Fernández","ME-O","neutral"
"Andrés Palma","Nicolás Preuss","positivo"
"Paulina Vodanovic","Antonia Urrejola","neutral"
"Franco Parisi","Felipe Kast","neutral"
"Gabriel Boric","Santa Juana","neutral"
"Natalia Piergentili","Diego Ibáñez","positivo"
"Leonardo Soto","Expresidenta Bachelet","neutral"
"Sebastián Piñera","Gabriel Boric","positivo"
"Encuesta Criteria","Gabriel Boric","neutral"
"Fuad Chahin","David Morales","neutral"
"Rojo Edwards","Squella","negativo"
"José Antonio Kast","Rojo Edwards","negativo"
"Gabriel Boric","Colonia Dignidad","positivo"
"Gabriel Boric","Zelensky","neutral"
"José Antonio Kast  Kast","Franco Parisi","positivo"
"Gabriel Boric","Boluarte","neutral"
"Gabriel Boric","Marcela Ríos","negativo"
"Gabriel Boric","Antonia Urrejola","positivo"
"Alberto Fernández","Antonia Urrejola","positivo"
"Yasna Provoste","Harald Beyer","neutral"
"Gabriel Boric","Nicolás Maduro","positivo"
"Gabriel Boric","Nicolás Maduro","negativo"
"Guillermo Teillier","Tohá-Girardi","neutral"
"Giorgio Jackson","Sebastián Piñera","positivo"
"Raúl Soto","Apruebo Dignidad","negativo"
"Giorgio Jackson","Marcela Ríos","negativo"
"Axel Kaiser","Giorgio Jackson","neutral"
"Iván Moreira","Giorgio Jackson","positivo"
"Lavín","Giorgio Jackson","negativo"
"Uriarte","Giorgio Jackson","neutral"
"Loreto Carvajal","Giorgio Jackson","positivo"
"Solís","Matías Meza-Lopenhandía","neutral"
"Giorgio Jackson","Uriarte","neutral"
"Latorre","Tohá-Girardi","negativo"
"Mejor Niñez","Giorgio Jackson","positivo"
"Giorgio Jackson","Matías Meza-Lopenhandía","neutral"
"Ana Lya Uriarte","Giorgio Jackson","neutral"
"Gabriel Boric","Guillermo Teillier","positivo"
"Patricia Hidalgo","Giorgio Jackson","neutral"
"José Antonio Viera-Gallo","Marcela Ríos","neutral"
"angel valencia","Ángel Valencia","neutral"
"Eric Aedo  Jefe de s DC","Apruebo Dignidad","positivo"
"Gabriel Boric","Ángel Valencia","neutral"
"Gabriel Boric","Ángel Valencia","positivo"
"Michelle Bachelet","Expresidenta Bachelet","positivo"
"Ángel Valencia  La Fiscalía Nacional","Ángel Valencia","neutral"
"Gustavo Petro","Gabriel Boric","neutral"
"Marcela Ríos","Matías Meza-Lopenhandía","positivo"
"Gabriel Boric","Luis Cordero Vega","neutral"
"Gabriel Boric","Matías Meza-Lopenhandía","positivo"
"Gabriel Boric","Luis Castillo","negativo"
"Loreto Carvajal","Ángel Valencia","positivo"
"Carolina Tohá","Ángel Valencia","negativo"
"Javier Macaya","Matías Meza-Lopenhandía","negativo"
"Carolina Tohá","Gabriel Boric","neutral"
"Gabriel Boric","Jorge Mateluna","positivo"
"Gabriel Boric","descartes","neutral"
"Gabriel Boric","Jorge Mateluna","positivo"
"Lula","Gabriel Boric","positivo"
"Jorge Mateluna","Gabriel Boric","positivo"
"Gabriel Boric","Sebastián Depolo","neutral"
"Gabriel Boric","Lula da Silva","neutral"
"Ricardo Lagos","Lula da Silva","positivo"
"Pancho Malo","Oposición  Macaya","neutral"
"Delgado","Gabriel Boric","positivo"
"Gabriel Boric","Jorge Mateluna","positivo"
"Gabriel Boric","Jorge Mateluna","positivo"
"Camila Vallejo","Gabriel Boric","positivo"
"Gabriel Boric","Irina Karamanos","positivo"
"Gabriel Boric","Elisa Loncon","neutral"
"Gabriel Boric","Lula da Silva","neutral"
"Oposición  Macaya","Pancho Malo","neutral"
"Luis Maira","Matías Meza-Lopenhandía","positivo"
"Antonia Barra","Martín Pradenas","neutral"
"Camila Vallejo","Martín Pradenas","negativo"
"Sebastián Piñera","Gabriel Boric","positivo"
"Irací Hassler","Insinuar","negativo"
"Irací Hassler","Raúl Torrealba","negativo"
"Ana Lya Uriarte","Marta Herrera","positivo"
"Irací Hassler","Gabriel Boric","neutral"
"Ana Lya Uriarte","Marta Herrera","neutral"
"Gabriel Boric","Marta Herrera","positivo"
"Mujer","Ángel Valencia","positivo"
"Marta Herrera","Abbott","positivo"
"Gabriel Boric","Marta Herrera","positivo"
"Antonia Urrejola","Pedro Castillo","neutral"
"Antonia Urrejola","Rodrigo Castillo","positivo"
"Marta Herrera","Abbott","neutral"
"Abbott","Marta Herrera","neutral"
"José Antonio Kast","Sebastián Piñera","neutral"
"Gabriel Boric","Marta Herrera","neutral"
"Yovana Ahumada  Ahumada","Franco Parisi","positivo"
"Frei Ruiz-Tagle","Catalina Lagos","positivo"
"Catalina Lagos","Frei Ruiz-Tagle","neutral"
"Natalia Piergentili","Lautaro Carmona","negativo"
"Gabriel Boric","Expresidenta Bachelet","positivo"
"Gabriel Boric","Expresidenta Bachelet","positivo"
"Gabriel Boric","Expresidenta Bachelet","neutral"
"Zolezzi","Elisa Loncon","neutral"
"Patricia Hidalgo","Desarrollo Social","negativo"
"Giorgio Jackson","Camila Vallejo","neutral"
"Gabriel Boric","Pepe Mujica","neutral"
"Sebastián Piñera","Ricardo Lagos","neutral"
"Sebastián Piñera","Liceos Bicentenarios","neutral"
"Uriarte","José Morales","neutral"
"Jorge Saffirio","Joanna Pérez","negativo"
"Gabriel Boric","Oposición  Macaya","positivo"
"José Morales","Matías Meza-Lopenhandía","neutral"
"Carolina Tohá","José Morales","neutral"
"Catalina Lagos","Sebastián Piñera","neutral"
"Gabriel Boric","Patricio Aylwin","neutral"
"Gabriel Boric","Patricio Aylwin","positivo"
"Camila Vallejo","Agricultura","neutral"
"Beatriz Sánchez","Matías Meza-Lopenhandía","positivo"
"Gabriel Boric","AMLO","positivo"
"Nicolás Maduro","Antonia Urrejola","negativo"
"Uriarte","Fidel Espinoza","negativo"
"Uriarte","Manouchehri","neutral"
"Carolina Tohá","José Morales","positivo"
"Catalina Lagos","Sebastián Piñera","neutral"
"Alejandra Precht","Manuel Romero Núñez","neutral"
"Vlado Mirosevic","Nelson Mandela","neutral"
"Desbordes","Interior","negativo"
"Gabriel Boric","Xi Jinping","positivo"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"Fuad Chahin","Alberto Undurraga","neutral"
"Camila Vallejo","Gabriel Boric","negativo"
"Gabriel Boric","Víctor Ramos","positivo"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"Gabriel Boric","Beatriz Sánchez","positivo"
"Gabriel Boric","Beatriz Sánchez","neutral"
"Gabriel Boric","Matías Meza-Lopenhandía","negativo"
"Gabriel Boric","Matías Meza-Lopenhandía","positivo"
"Gabriel Boric","Vlado Mirosevic","positivo"
"Uriarte","Vlado Mirosevic","positivo"
"Camila Flores  Diputada","Camila Flores","neutral"
"Lagomarsino","Vlado Mirosevic","positivo"
"Eric Aedo","Uriarte","neutral"
"Vlado Mirosevic","Karol Cariola","positivo"
"Matías Meza-Lopenhandía","Cónclave","positivo"
"Diego Ibáñez","Eric Aedo","positivo"
"Carolina Tohá","Karol Cariola","positivo"
"Gabriel Boric","Lula","positivo"
"Mónica Rincón","Amarillos","positivo"
"Paulina Vodanovic","Karol Cariola","positivo"
"Gabriel Boric","Uriarte","negativo"
"Camila Vallejo","Karol Cariola","negativo"
"Daniel Jadue","Gabriel Boric","neutral"
"Gabriel Boric","Mauricio Hurtado","neutral"
"Karol Cariola","Sergio Micco","neutral"
"Ximena Rincón","Matías Walker","negativo"
"Sebastián Piñera","Gabriel Boric","negativo"
"Andrés Chadwick","Oposición  Macaya","neutral"
"Codina","Subsecretario Monsalve","positivo"
"Camila Vallejo","Apruebo Dignidad","positivo"
"Javiera Blanco","Hasbún","positivo"
"Subsecretario Monsalve","Matías Meza-Lopenhandía","positivo"
"Rafael Cumsille","Gabriel Boric","neutral"
"Daniel Jadue","Gabriel Boric","positivo"
"Carolina Tohá","Daniel Jadue","neutral"
"Isabel Orellana","Gabriel Boric","positivo"
"Gabriel Boric","Subsecretario Monsalve","neutral"
